Time_Point_hpi,Treatment,Cell_ID,RI,Gradient,Blebbing cells number,,,Gradient,Normalized Gradient
6,VACV,7,1.34628,0.00801214,1,,,0.00801214,3.09390247
6,VACV,8,1.34272,0.00513846,1,,,0.00513846,1.984225698
6,VACV,9,1.34209,0.005227864,1,,,0.005227864,2.018749216
6,VACV,10,1.34267,0.00556382,1,,,0.00556382,2.148479238
8,VACV,1,1.3469,0.00759112,1,,9,0.00759112,2.931324829
8,VACV,2,1.34465,0.00723458,1,,,0.00723458,2.793646258
8,VACV,3,1.34557,0.0078773,1,,,0.0078773,3.041833758
8,VACV,4,1.33412,0.00696505,1,,,0.00696505,2.689566757
8,VACV,5,1.34506,0.00754908,1,,,0.00754908,2.915091006
8,VACV,6,1.34653,0.00655354,1,,,0.00655354,2.53066142
8,VACV,7,1.34674,0.00804524,1,,,0.00804524,3.106684095
8,VACV,8,1.34515,0.00723685,0,,,0.00723685,2.794522823
8,VACV,9,1.34729,0.00950049,1,,,0.00950049,3.668631536
8,VACV,10,1.34457,0.00715545,1,,,0.00715545,2.763090064
0,VACV_CHX,1,1.33942,0.00260847,,,,0.00260847,1.028420775
0,VACV_CHX,2,1.33893,0.00220351,,,,0.00220351,0.8687604085
0,VACV_CHX,3,1.33987,0.0028066,,,,0.0028066,1.106535919
0,VACV_CHX,4,1.33897,0.00207386,,,,0.00207386,0.8176443315
0,VACV_CHX,5,1.3398,0.00232343,,,,0.00232343,0.9160403157
0,VACV_CHX,6,1.33936,0.0022906,,,,0.0022906,0.903096692
0,VACV_CHX,7,1.3398,0.00265582,,,,0.00265582,1.047089084
0,VACV_CHX,8,1.33925,0.00216512,,,,0.00216512,0.8536246877
0,VACV_CHX,9,1.33902,0.0025294,,,,0.0025294,0.9972464737
0,VACV_CHX,10,1.33948,0.00370703,,,,0.00370703,1.461541312
2,VACV_CHX,1,1.33974,0.00266296,,,,0.00266296,1.049904115
2,VACV_CHX,2,1.33888,0.0020272,,,,0.0020272,0.7992480634
2,VACV_CHX,3,1.33894,0.00265337,,,,0.00265337,1.046123142
2,VACV_CHX,4,1.33919,0.0023944,,,,0.0023944,0.9440210946
2,VACV_CHX,5,1.33906,0.00242858,,,,0.00242858,0.9574969721
2,VACV_CHX,6,1.33971,0.00288677,,,,0.00288677,1.138143909
2,VACV_CHX,7,1.33915,0.00249297,,,,0.00249297,0.9828835066
2,VACV_CHX,8,1.33923,0.00212185,,,,0.00212185,0.8365649681
2,VACV_CHX,9,1.33921,0.0025001,,,,0.0025001,0.9856945951
